{ r: 4, n: 7, det_states: 329, det_time: 0, me_states: 229, me_time: 0  }
{ r: 5, n: 7, det_states: 1, det_time: 0, me_states: 1, me_time: 0  }
{ r: 5, n: 7, det_states: 12, det_time: 0, me_states: 12, me_time: 0  }
{ r: 5, n: 5, det_states: 5, det_time: 0, me_states: 5, me_time: 0  }
{ r: 5, n: 7, det_states: 1, det_time: 0, me_states: 1, me_time: 0  }
{ r: 5, n: 0, det_states: 0, det_time: 0, me_states: 0, me_time: 0  }
{ r: 5, n: 7, det_states: 5, det_time: 0, me_states: 5, me_time: 0  }
{ r: 5, n: 7, det_states: 161, det_time: 0, me_states: 117, me_time: 0  }
{ r: 3, n: 8, det_states: 3, det_time: 0, me_states: 3, me_time: 0  }
{ r: 3, n: 8, det_states: 208, det_time: 0, me_states: 188, me_time: 0  }
{ r: 3, n: 8, det_states: 234, det_time: 0, me_states: 200, me_time: 0  }
{ r: 3, n: 8, det_states: 144, det_time: 0, me_states: 141, me_time: 0  }
{ r: 3, n: 8, det_states: 266, det_time: 0, me_states: 241, me_time: 0  }
{ r: 3, n: 8, det_states: 432, det_time: 0, me_states: 289, me_time: 0  }
{ r: 3, n: 8, det_states: 498, det_time: 1, me_states: 356, me_time: 0  }
{ r: 4, n: 0, det_states: 0, det_time: 0, me_states: 0, me_time: 0  }
{ r: 4, n: 5, det_states: 2, det_time: 0, me_states: 2, me_time: 0  }
{ r: 4, n: 8, det_states: 1, det_time: 0, me_states: 1, me_time: 0  }
{ r: 4, n: 8, det_states: 583, det_time: 1, me_states: 395, me_time: 1  }
{ r: 4, n: 8, det_states: 769, det_time: 1, me_states: 445, me_time: 1  }
{ r: 4, n: 8, det_states: 1237, det_time: 3, me_states: 610, me_time: 1  }
{ r: 4, n: 8, det_states: 1495, det_time: 4, me_states: 673, me_time: 1  }
{ r: 5, n: 8, det_states: 1, det_time: 0, me_states: 1, me_time: 0  }
{ r: 5, n: 8, det_states: 10, det_time: 0, me_states: 10, me_time: 0  }
{ r: 5, n: 8, det_states: 6, det_time: 0, me_states: 6, me_time: 0  }
{ r: 5, n: 8, det_states: 3, det_time: 0, me_states: 3, me_time: 0  }
{ r: 5, n: 8, det_states: 1, det_time: 0, me_states: 1, me_time: 0  }
{ r: 5, n: 8, det_states: 12, det_time: 0, me_states: 12, me_time: 0  }
{ r: 5, n: 8, det_states: 900, det_time: 1, me_states: 497, me_time: 1  }
{ r: 3, n: 9, det_states: 1, det_time: 0, me_states: 1, me_time: 0  }
{ r: 3, n: 9, det_states: 1, det_time: 0, me_states: 1, me_time: 0  }
{ r: 3, n: 9, det_states: 13, det_time: 0, me_states: 13, me_time: 0  }
{ r: 3, n: 9, det_states: 20, det_time: 0, me_states: 20, me_time: 0  }
{ r: 3, n: 9, det_states: 576, det_time: 0, me_states: 435, me_time: 0  }
{ r: 3, n: 9, det_states: 410, det_time: 1, me_states: 308, me_time: 0  }
{ r: 3, n: 9, det_states: 848, det_time: 1, me_states: 616, me_time: 1  }
{ r: 4, n: 9, det_states: 125, det_time: 0, me_states: 116, me_time: 0  }
{ r: 4, n: 9, det_states: 247, det_time: 1, me_states: 177, me_time: 1  }
{ r: 4, n: 9, det_states: 642, det_time: 1, me_states: 546, me_time: 1  }
{ r: 4, n: 9, det_states: 870, det_time: 3, me_states: 620, me_time: 1  }
{ r: 4, n: 9, det_states: 1701, det_time: 5, me_states: 891, me_time: 3  }
{ r: 4, n: 9, det_states: 2202, det_time: 7, me_states: 965, me_time: 3  }
{ r: 4, n: 9, det_states: 2178, det_time: 8, me_states: 983, me_time: 3  }
{ r: 5, n: 9, det_states: 4, det_time: 0, me_states: 4, me_time: 0  }
{ r: 5, n: 9, det_states: 18, det_time: 0, me_states: 18, me_time: 0  }
{ r: 5, n: 9, det_states: 52, det_time: 0, me_states: 52, me_time: 0  }
{ r: 5, n: 9, det_states: 1046, det_time: 4, me_states: 719, me_time: 2  }
{ r: 5, n: 9, det_states: 1062, det_time: 5, me_states: 742, me_time: 3  }
{ r: 5, n: 9, det_states: 2698, det_time: 11, me_states: 1198, me_time: 5  }
{ r: 5, n: 9, det_states: 3110, det_time: 13, me_states: 1256, me_time: 5  }
{ r: 3, n: 0, det_states: 0, det_time: 0, me_states: 0, me_time: 0  }
{ r: 3, n: 10, det_states: 1, det_time: 0, me_states: 1, me_time: 0  }
{ r: 3, n: 10, det_states: 93, det_time: 0, me_states: 36, me_time: 0  }
{ r: 3, n: 10, det_states: 526, det_time: 1, me_states: 362, me_time: 0  }
